,Age,Sex,Interest,Clicks,Purchased
85,63.1044576328411,M,5.0,3,149.276081363246
86,32.44517756009951,Unclassified,3.0,0,0.0
87,65.14203488201669,M,6.0,1,0.0
88,42.545213322404784,M,8.0,6,0.0
90,58.85071614276652,M,6.0,0,0.0
91,38.97186774628176,Unclassified,4.0,0,0.0
92,34.181463469789655,F,5.0,0,0.0
93,34.48200108967554,M,6.0,0,0.0
94,47.13512188106302,M,7.0,1,0.0
96,51.7188818354707,M,8.0,2,0.0
98,59.00781453277877,F,7.0,3,314.22712507714925
99,20.392555022867974,Unclassified,7.0,1,92.72288340887654
100,60.52376435489576,M,2.0,1,0.0
101,16.361638571293604,M,8.0,3,0.0
102,39.34379860914955,F,1.0,0,0.0
103,64.78155178922705,F,6.0,1,0.0
107,65.35078363803007,Unclassified,8.0,0,0.0
108,30.790766809216763,M,8.0,1,0.0
109,53.85933826515602,Unclassified,6.0,1,167.62019767963602
110,56.251107590480245,Unclassified,7.0,1,0.0
111,32.295402555373954,Unclassified,2.0,1,37.82824263200668
112,67.17729409597,M,10.0,6,122.2964079827956
113,24.954951415243116,M,5.0,0,0.0
115,40.436458070125006,M,9.0,0,0.0
116,48.04806815752796,F,7.0,1,142.47139029573805
117,60.19143528031496,M,8.0,5,0.0
118,17.885303205656868,Unclassified,10.0,1,0.0
119,39.845089478251545,F,5.0,0,0.0
120,20.655802718815803,F,3.0,1,0.0
121,13.744489055101539,M,9.0,5,323.1524681835629
122,59.788979780728276,F,3.0,1,100.01520374113026
123,43.51236083757859,M,8.0,2,0.0
124,31.225487467713542,F,8.0,1,0.0
126,59.03907160572497,F,8.0,3,0.0
128,54.042469906186774,Unclassified,9.0,1,40.311682601236576
129,35.410342047131934,M,5.0,1,102.80026654322164
130,65.6724093627012,F,5.0,0,0.0
132,23.043281807932217,F,8.0,1,0.0
133,59.015726691466796,M,2.0,0,0.0
134,63.66180427047993,F,3.0,2,0.0
135,48.921982143643774,Unclassified,3.0,0,0.0
136,37.658253742003126,Unclassified,2.0,1,62.14461128701069
137,24.73838153476483,M,8.0,1,0.0
138,35.5778941868879,M,8.0,1,98.0454033193956
139,54.64668827708016,M,5.0,2,0.0
140,60.193282259735845,Unclassified,5.0,2,0.0
141,20.10758744487952,F,3.0,1,149.38646291371606
142,60.583799003385124,F,6.0,0,0.0
143,55.33479793147712,F,4.0,3,0.0
144,16.44257463085003,F,5.0,1,0.0
146,35.56699456978482,F,4.0,0,0.0
147,19.66610043636615,F,5.0,0,0.0
148,25.77058555043469,M,7.0,2,0.0
149,33.58436028419483,M,4.0,0,0.0
152,65.55853440543267,Unclassified,8.0,1,2.1776346565256652
153,39.23044830977622,F,5.0,0,0.0
155,56.564350431229066,F,6.0,7,0.0
156,58.70081802471584,F,6.0,2,0.0
157,49.81711955409486,F,8.0,0,0.0
159,32.09813523600478,M,6.0,3,266.487042017042
160,63.88559032866966,F,3.0,4,824.8759209729075
161,34.37116195255828,F,2.0,1,0.0
163,44.3673366988038,F,3.0,2,0.0
164,40.48402600878834,M,4.0,1,69.11259067181592
165,36.17974145250298,F,3.0,0,0.0
167,22.471048299766352,Unclassified,9.0,1,141.87275765146512
168,65.64678179636205,M,1.0,0,0.0
169,65.12309359353523,M,10.0,5,0.0
170,66.72898349333026,Unclassified,6.0,2,0.0
171,38.77286059038717,F,6.0,1,80.071769842284
172,30.42862393438725,M,10.0,1,0.0
174,39.2857570949684,M,5.0,0,0.0
175,36.351727601518235,F,3.0,3,457.424596577979
179,56.70996093376954,F,2.0,1,102.90117786733767
180,63.76730269777754,M,9.0,3,0.0
181,56.27671723931942,F,1.0,1,149.5663488935656
182,66.90245359062317,M,7.0,2,21.55996563595963
185,54.53822916430904,F,4.0,5,0.0
186,27.650476652199117,M,9.0,1,30.998271027888137
188,19.91624050712688,F,7.0,5,0.0
190,59.41846930979151,F,6.0,3,0.0
191,51.15043433870476,F,7.0,4,0.0
192,31.14029309818082,F,9.0,4,352.57356385903387
193,57.55966606351814,F,5.0,1,39.79774822980523
194,36.423269479887175,Unclassified,2.0,0,0.0
195,55.618951820583526,Unclassified,6.0,0,0.0
196,41.30413123725631,Unclassified,6.0,1,0.0
197,43.916433248214396,M,2.0,2,0.0
198,62.373664479616615,F,5.0,0,0.0
199,61.9317731466587,M,9.0,5,0.0
200,29.208274366180387,Unclassified,3.0,1,0.0
203,18.69553513105449,F,8.0,2,53.85843028738701
204,31.781133101096728,M,9.0,3,272.7789109490226
205,41.85722228486547,M,9.0,5,473.24340486508686
206,43.56631617932634,M,4.0,2,455.54640063602113
207,33.32961160823585,M,9.0,7,0.0
208,51.88846943698055,F,2.0,0,0.0
209,51.00353727162467,M,7.0,2,0.0
210,45.061910257580145,M,7.0,4,0.0
211,36.27086232489552,M,9.0,5,431.77165001897487
212,60.67396094387023,F,5.0,1,254.46514425998728
213,43.324744828168726,F,7.0,4,281.93721621140577
214,33.65383079705441,M,8.0,2,0.0
215,24.403627478726964,F,4.0,4,0.0
217,35.433891581165,Unclassified,8.0,0,0.0
219,64.93301302618568,Unclassified,8.0,2,42.46183336811136
220,63.16933929880327,F,10.0,5,699.0923840419617
221,63.570562322789215,F,4.0,1,0.0
222,56.202201049199566,F,8.0,3,268.4329467444387
223,66.27436802792361,M,10.0,11,583.3604773153162
224,55.709367257885944,Unclassified,9.0,1,6.3909120144793174
225,27.23623913747475,M,6.0,0,0.0
226,44.46578824580152,F,7.0,3,278.8445861655615
227,18.606290067231242,M,9.0,13,0.0
228,43.80110268804987,M,9.0,3,0.0
229,53.555191797417365,Unclassified,3.0,0,0.0
230,29.46570215476382,F,9.0,1,183.46471107814355
231,31.167707651916203,M,8.0,4,0.0
232,67.79692752652078,M,3.0,3,197.28719014025893
233,31.287562173999746,F,7.0,3,432.59275407183026
235,44.460129804706895,F,1.0,0,0.0
236,42.00948708018749,F,2.0,2,103.44571489240039
237,58.68649458137115,F,3.0,1,0.0
238,55.49074506990712,M,2.0,0,0.0
239,27.009448154184632,F,6.0,1,0.0
240,26.752338990855304,M,8.0,5,0.0
241,24.316446444734044,F,5.0,1,0.0
242,66.43070880645229,Unclassified,7.0,1,0.0
243,41.231042999314944,M,3.0,1,70.10554380634885
245,41.433909977079686,M,8.0,4,0.0
248,56.60276570101642,Unclassified,7.0,2,122.26105183097656
249,46.78142056458356,Unclassified,3.0,0,0.0
251,20.504465547757277,Unclassified,9.0,2,345.5162642642025
252,28.310519144755514,F,2.0,1,83.65307358610785
253,33.493302444386686,M,10.0,2,0.0
255,31.606274466598897,Unclassified,8.0,1,272.8110340772255
256,52.13152678531312,M,7.0,5,0.0
258,17.614769773199527,M,9.0,5,54.947964225783664
259,46.558251544912665,F,8.0,2,0.0
260,54.48800437531935,Unclassified,7.0,1,20.251632166272312
261,46.455065270756926,M,5.0,2,0.0
262,36.07800672782618,M,6.0,0,0.0
263,28.17428430341075,M,5.0,2,138.84001054281606
264,55.22888104161622,F,8.0,0,0.0
266,60.91765809706722,M,6.0,0,0.0
267,48.93938411858354,M,2.0,0,0.0
268,65.60179546739406,F,8.0,1,89.57094054797525
269,37.353871159691906,Unclassified,4.0,1,0.0
270,27.346694552635938,F,9.0,2,137.13554518750232
271,18.996752056974074,Unclassified,6.0,0,0.0
273,44.369396122209075,Unclassified,2.0,0,0.0
274,43.43945686152328,F,6.0,0,0.0
275,47.281950053014114,F,2.0,3,131.8315166930749
276,75.48364950265959,M,3.0,0,0.0
279,38.43609635070075,M,6.0,4,553.7983644848835
280,59.4188460818139,F,5.0,5,184.57012657456917
283,52.40561058552532,M,7.0,0,0.0
284,69.53160271814481,M,7.0,4,155.00960197867894
286,26.525325247309613,F,8.0,1,0.0
287,29.578487607887507,F,1.0,1,0.0
288,25.241248577051536,F,2.0,1,105.10978369885319
289,38.207976191458755,F,9.0,1,44.5860591172891
290,37.67394833461221,F,2.0,0,0.0
291,43.975045624087564,M,8.0,5,302.53097272935605
292,65.08025729518847,M,6.0,3,123.55851289640675
293,57.551833415053544,Unclassified,8.0,2,0.0
294,67.70486820341623,F,2.0,1,0.0
295,58.52845979387708,F,4.0,3,0.0
296,26.920634696648992,F,3.0,3,134.02657236171942
298,62.19737639575285,F,3.0,2,0.0
299,35.14087641474701,F,9.0,1,225.4405221626203
300,66.65238623118515,Unclassified,7.0,2,26.86159424406749
301,42.54403337470371,M,7.0,4,310.3534958684015
303,51.29172361943525,Unclassified,7.0,0,0.0
304,19.788870308003986,M,10.0,1,357.19099009324634
305,66.33796180608894,Unclassified,2.0,1,0.0
306,52.93098146195604,F,7.0,0,0.0
308,31.71187730393751,F,3.0,3,0.0
309,28.797089083829537,M,7.0,3,0.0
310,47.136762968376146,M,2.0,0,0.0
313,51.61007368079573,F,8.0,1,0.0
314,23.6197055191166,F,3.0,1,117.08866232049684
316,24.22708925909001,Unclassified,2.0,0,0.0
317,30.588050785223476,F,9.0,3,0.0
318,40.96494252538833,F,7.0,3,205.22760301360447
319,15.05161625149298,Unclassified,9.0,1,85.47205441175876
320,62.472111597187364,M,3.0,1,6.552535360298695
321,24.085558119925512,M,5.0,5,367.8970919819146
323,34.548036499433586,F,3.0,0,0.0
324,64.25432694472464,F,6.0,3,0.0
325,30.440657530359584,Unclassified,3.0,1,21.354960778034894
326,22.96772078988201,M,8.0,2,0.0
327,25.58297302002919,Unclassified,3.0,1,41.81339270226158
328,21.51134702693267,M,2.0,0,0.0
329,44.01713813285981,M,5.0,2,203.19329302882647
330,43.09711179495878,M,5.0,1,71.4238598157504
332,36.975577346392136,F,6.0,3,0.0
333,36.537795970159806,M,8.0,2,270.4223365193124
334,66.23101016957183,Unclassified,5.0,0,0.0
337,47.84571915155992,M,6.0,1,0.0
339,45.23603811726862,M,8.0,3,269.99388665911
341,64.9565843746299,F,2.0,1,0.0
342,46.90577874425309,M,7.0,4,335.3823614316258
344,22.537427970809585,M,6.0,1,68.6505362421734
346,31.28409203558608,M,8.0,7,943.5276186281517
347,25.875989659667404,F,3.0,0,0.0
348,72.9280678915985,M,5.0,6,0.0
349,60.04073831707601,M,6.0,5,514.2202983803314
351,24.14610051243208,F,9.0,0,0.0
352,43.72787197462457,M,9.0,7,600.0995243576247
353,36.60698800509587,F,1.0,1,0.0
354,27.995085325792147,F,4.0,0,0.0
357,19.85289107772823,F,3.0,0,0.0
358,42.52353238348021,F,6.0,2,0.0
360,36.48231065964702,M,4.0,0,0.0
361,34.383049132820894,M,9.0,3,332.129043655597
363,66.43030183689918,F,2.0,0,0.0
364,35.047476600416985,Unclassified,9.0,0,0.0
365,27.785796841563727,F,5.0,1,70.40620802851136
367,36.51299090805252,F,5.0,4,486.7058585030989
368,53.82755539731551,M,7.0,1,144.60637367930778
369,36.100777158642224,Unclassified,9.0,1,0.0
370,40.1801309761846,M,7.0,10,0.0
372,14.682295036812608,M,7.0,2,91.2785844789666
373,59.589690174404495,F,4.0,4,256.4239252240564
374,35.19384262299772,M,3.0,1,0.0
375,27.252920157562905,Unclassified,2.0,0,0.0
376,41.381975189848745,F,4.0,1,0.0
378,30.0272626401107,Unclassified,5.0,0,0.0
379,37.660404771182684,F,3.0,2,111.01862640797988
380,59.223510294980635,F,9.0,1,0.0
382,29.467342838267378,Unclassified,4.0,0,0.0
383,27.92450541054817,Unclassified,7.0,1,218.77774805842614
384,24.927230543148735,F,2.0,1,91.38641047258459
388,36.14822021918203,Unclassified,7.0,0,0.0
389,54.31749081242285,Unclassified,3.0,1,19.959628105058624
390,60.91341305990698,M,7.0,0,0.0
391,62.83084073880998,M,6.0,2,42.78439042542256
392,20.952937451136783,M,9.0,7,553.9479511012934
393,51.37714489664347,F,7.0,3,290.8209651032061
394,45.00349532987311,Unclassified,3.0,0,0.0
395,50.47938927355913,Unclassified,8.0,4,347.74959897358934
396,26.945968002824156,F,3.0,1,0.0
397,62.468705772784475,F,5.0,1,144.80676322618143
398,31.69205345327958,M,6.0,0,0.0
399,30.947163344412758,F,9.0,0,0.0
400,32.751778654158926,M,8.0,1,0.0
401,28.21441901612109,M,8.0,1,0.0
402,49.967043686860066,M,1.0,0,0.0
403,26.20062734788113,F,7.0,0,0.0
404,26.085428794798563,M,3.0,0,0.0
405,62.15701637497452,F,1.0,2,323.989427690064
406,52.27507144479512,F,4.0,1,39.5265681337204
408,30.74026797092823,F,7.0,3,0.0
410,32.71831077861904,F,5.0,3,258.87414402054935
411,43.04742296633429,Unclassified,7.0,0,0.0
412,52.3849824441042,F,3.0,1,181.13122417448585
413,37.36292540028259,F,5.0,3,597.7055233943657
414,24.150021372486005,Unclassified,5.0,1,31.532506148209578
415,25.383632295225485,F,1.0,0,0.0
416,40.108074492225,F,1.0,0,0.0
417,33.6967012958352,Unclassified,8.0,2,0.0
420,46.675120396022834,Unclassified,4.0,0,0.0
421,47.45642276617233,M,9.0,4,0.0
422,21.898688512199676,M,7.0,1,0.0
423,53.125053370606366,F,5.0,0,0.0
425,50.928685345181336,M,8.0,1,0.0
427,58.846176892309636,M,8.0,8,525.9290576620499
428,17.269064805960795,F,4.0,1,20.731574991215354
430,34.568288514006724,Unclassified,4.0,1,0.0
431,71.96721129673418,Unclassified,2.0,1,0.0
432,33.468321219691674,Unclassified,8.0,0,0.0
433,51.342379545690754,Unclassified,4.0,0,0.0
435,38.63058530440282,Unclassified,5.0,2,0.0
436,60.45258641176852,M,8.0,3,130.93746664582073
437,32.083374666018926,M,5.0,7,0.0
438,50.93782721523526,F,4.0,5,429.74177143694374
439,39.135413497287686,F,4.0,1,84.18556852825505
440,15.086271338035925,F,6.0,8,0.0
441,68.49433552364886,F,7.0,3,501.16170197800454
442,66.73801187542374,F,9.0,3,0.0
443,72.05070466771319,F,2.0,0,0.0
445,67.84143351558617,Unclassified,7.0,0,0.0
446,67.94402716552878,M,4.0,2,124.50264055818846
447,40.47515782362253,M,10.0,4,0.0
448,53.623828538304984,Unclassified,5.0,1,0.0
449,61.6239104104601,Unclassified,8.0,1,8.79401290385052
450,58.16625081840491,F,4.0,2,0.0
451,33.549369488434806,M,9.0,4,699.427410848732
452,27.73445169891655,M,4.0,0,0.0
453,48.29441179227927,Unclassified,10.0,1,104.42478195123473
454,39.6592385828374,F,8.0,5,540.2361982769459
456,53.786023118762685,M,7.0,1,12.640343976685394
458,10.243761498554376,F,7.0,1,48.67489147617413
459,68.02415902186516,Unclassified,5.0,1,0.0
460,67.12586241869258,M,9.0,4,105.09537710525977
461,53.62197532865791,M,5.0,1,0.0
462,44.79604579493707,M,8.0,2,403.388712814188
463,31.79751677921474,F,5.0,5,661.0093508127619
465,45.31937781517161,F,6.0,0,0.0
466,34.10028660186532,F,3.0,2,168.30279043441695
468,29.212524410457526,F,6.0,2,202.1770040139274
470,33.222070072758,F,6.0,0,0.0
471,31.252332391167307,F,8.0,1,166.57960663911018
472,38.65156977904582,Unclassified,8.0,0,0.0
473,47.525619713812986,Unclassified,5.0,1,221.51932012719203
475,24.002549427681572,F,9.0,5,522.8460838615476
476,62.1566720372626,M,4.0,2,0.0
477,66.35291927208627,F,4.0,1,0.0
478,54.112205593459294,M,9.0,2,102.98240163607196
479,27.319124293543823,Unclassified,9.0,1,0.0
480,59.90963700657225,F,9.0,0,0.0
482,17.151258028513084,F,3.0,1,97.00104924133016
485,19.299597154417107,F,4.0,3,55.707262622091875
486,31.860895392685187,F,6.0,6,0.0
487,52.12686655170554,F,9.0,1,215.11671866363758
488,64.77477927905295,M,7.0,3,169.57033028582003
489,63.93732083891892,Unclassified,2.0,1,165.81076827709356
490,58.00098683870032,F,6.0,6,320.07930244501586
492,52.865866784708565,F,1.0,0,0.0
493,35.621861116217076,Unclassified,4.0,0,0.0
494,41.21876511324637,M,7.0,4,465.378768179705
495,33.974212392190225,F,3.0,0,0.0
496,15.989622986876588,F,4.0,1,0.0
497,33.69502820785364,Unclassified,2.0,0,0.0
500,52.47067301359274,M,3.0,0,0.0
501,39.76629180911203,F,5.0,3,0.0
502,40.21839465722319,F,3.0,2,0.0
503,27.790481648945814,Unclassified,7.0,3,255.41906478964785
504,17.06957201647361,Unclassified,5.0,0,0.0
505,29.116898019592423,F,8.0,2,0.0
506,44.44279935174607,F,5.0,0,0.0
508,56.69102151523654,Unclassified,6.0,0,0.0
509,39.82507972678735,M,4.0,1,138.613004639329
510,59.03554813601351,F,2.0,0,0.0
511,15.480947741653948,F,5.0,0,0.0
514,38.001696713836694,Unclassified,7.0,1,171.37900405809552
516,47.142625871331646,M,2.0,2,0.0
517,30.364765520702143,Unclassified,6.0,0,0.0
518,51.49615166915577,M,4.0,1,17.71808629449959
519,19.28723229366723,Unclassified,3.0,0,0.0
520,72.72619053085626,F,2.0,2,0.0
521,16.05045539321182,M,7.0,2,0.0
523,54.79162622454715,M,2.0,0,0.0
524,15.123354631395163,Unclassified,8.0,2,19.68595868702512
525,42.953058286423975,F,7.0,1,75.99679114109495
526,59.66970875677055,F,3.0,0,0.0
527,55.2736453145297,M,5.0,2,294.7620935969799
529,20.55827824396875,Unclassified,7.0,0,0.0
530,20.386509670970106,M,3.0,0,0.0
532,65.71487129059506,F,3.0,2,0.0
534,17.726046415004134,F,9.0,2,0.0
535,53.0104218651168,F,7.0,2,60.415337032660105
536,36.84356607385392,M,5.0,2,0.0
537,37.42694290614417,F,5.0,1,0.0
538,69.0095926194504,Unclassified,4.0,2,0.0
539,21.09404164938801,F,9.0,1,0.0
541,58.383293185810174,F,6.0,1,62.3931885244884
542,24.67279349172027,M,7.0,4,327.8159523673375
544,61.01307274828654,M,2.0,1,0.0
546,44.09176103360484,M,8.0,5,0.0
547,73.05682062426872,Unclassified,8.0,1,0.0
548,62.34643213667964,Unclassified,3.0,1,0.0
549,47.895937376790876,M,3.0,0,0.0
550,58.04032567432483,Unclassified,8.0,2,220.68938180346828
551,73.943041824668,M,2.0,0,0.0
552,38.339730751311095,F,3.0,2,0.0
553,18.04142165550529,M,9.0,2,0.0
555,38.62755861465244,Unclassified,9.0,0,0.0
557,60.27358798366352,F,5.0,5,1189.5930861205873
558,60.253828098712845,M,6.0,4,210.8678986256756
559,32.8445458997961,M,8.0,5,0.0
560,20.240076169582935,M,3.0,0,0.0
561,22.764961756684205,Unclassified,4.0,0,0.0
562,52.92773610301132,M,4.0,1,0.0
563,22.4529922421768,Unclassified,3.0,0,0.0
564,36.062418452283,M,4.0,1,31.515100248258644
566,18.852659649954177,F,3.0,2,0.0
567,36.42573324886216,F,8.0,1,0.0
568,36.64127202131076,Unclassified,3.0,1,0.0
569,26.507171384900694,F,3.0,1,0.0
570,20.62810308846582,M,9.0,3,541.6742721480945
571,50.28537728394951,M,7.0,1,45.91748660338676
572,47.488072406186106,M,7.0,2,0.0
573,61.61418815100448,F,8.0,1,256.5074347496833
574,39.01024874967288,M,2.0,1,0.0
575,27.40084768595722,F,4.0,1,0.0
576,55.44150639777075,F,5.0,3,0.0
577,16.009315323814526,M,10.0,7,0.0
578,39.43296143711938,Unclassified,6.0,1,159.50517618422896
579,50.9440029174533,F,7.0,1,0.0
580,50.63124141362544,M,9.0,3,233.63347238961762
581,62.73414652355516,F,6.0,0,0.0
582,48.4762126248777,M,8.0,1,0.0
584,23.795599142459096,F,1.0,0,0.0
585,72.73969187550682,F,5.0,3,0.0
586,61.88185346836039,M,5.0,1,0.0
588,55.278249174156265,F,8.0,4,236.17020183029263
590,47.47372190154582,M,3.0,2,142.27492961256362
593,31.8662208162365,Unclassified,3.0,1,98.5965547038276
594,49.05722391102678,F,6.0,3,0.0
595,67.18168019582177,M,3.0,2,83.08745963256511
596,65.19272088658637,M,7.0,8,337.59701649175736
597,31.33687990329118,F,5.0,0,0.0
599,32.69056235669996,Unclassified,3.0,0,0.0
600,44.278563320482675,M,3.0,1,45.74097293571906
601,14.627223954205219,M,9.0,4,108.23711776825513
602,61.647657512744935,Unclassified,5.0,0,0.0
604,24.63340574837937,M,8.0,3,345.8402340954459
605,20.82257055565931,F,3.0,0,0.0
606,48.935909276694154,Unclassified,10.0,1,81.10918909000054
607,53.2650086287631,F,2.0,2,264.1409897321763
608,52.49998738936814,M,4.0,0,0.0
609,28.110274459292434,F,7.0,2,224.31957369081343
610,39.60561055311712,M,7.0,2,187.72402857116927
611,50.42811662312948,M,7.0,1,165.93080608851318
612,52.76636823818101,M,3.0,0,0.0
614,48.034038706236856,Unclassified,8.0,1,0.0
615,35.61963796944596,F,4.0,2,0.0
616,36.02223917324723,Unclassified,7.0,0,0.0
618,22.775755357948647,M,7.0,3,0.0
619,64.18694274888136,F,2.0,2,0.0
620,26.269604934637094,F,4.0,1,97.80199675549494
621,49.490502958604175,F,4.0,1,24.375961979820744
622,25.088612235193377,M,7.0,6,635.0293628149902
623,69.78569425668249,M,4.0,0,0.0
624,28.683329374306457,F,5.0,4,265.5766990940976
625,49.89486725401271,M,8.0,4,344.71494234759246
626,26.366851239505316,M,8.0,3,183.0086631085771
627,56.14231931191095,M,3.0,0,0.0
628,44.762967673255176,F,9.0,2,278.33551174749005
629,47.329227339152126,Unclassified,7.0,1,39.73879855037651
630,26.120515104533307,Unclassified,3.0,0,0.0
631,17.780808156759797,M,9.0,8,274.6366738795444
632,72.3254108152846,M,7.0,3,0.0
634,42.23765262222038,F,2.0,0,0.0
636,27.899293994799017,F,7.0,1,0.0
637,19.206696197548332,F,9.0,3,0.0
638,60.5766615440234,M,5.0,0,0.0
639,56.28294118468358,M,10.0,5,821.478728051835
640,32.14186994826936,F,7.0,1,90.01190563586803
641,19.729923091744944,F,2.0,0,0.0
642,66.46244394459839,M,7.0,2,0.0
644,34.3903379443089,F,1.0,0,0.0
645,25.16416747089893,M,6.0,2,0.0
646,66.99929662680742,F,3.0,7,609.3943676113673
647,25.887769613499763,M,8.0,3,143.715087071845
648,30.909476034290055,F,3.0,1,0.0
649,41.0724571236497,F,7.0,4,426.39565105348845
650,17.20364103919534,F,7.0,1,0.0
651,32.13077828888768,M,6.0,2,279.78537773603864
652,14.196443919470585,F,7.0,1,128.9370239122806
655,54.93629866192007,Unclassified,3.0,1,0.0
656,23.359674270433153,M,9.0,3,0.0
657,60.624970705275096,F,2.0,1,174.75736597198764
659,51.15604089803409,M,6.0,4,140.07271301286676
660,19.48432930239509,Unclassified,3.0,0,0.0
661,39.673242215201654,F,2.0,2,201.5554923385722
663,16.275849621291457,F,3.0,1,20.790706610499615
664,37.2570606784099,Unclassified,8.0,2,0.0
665,47.11904010214252,F,6.0,2,0.0
666,43.66483712913393,F,8.0,1,0.0
668,44.411093604028814,F,4.0,1,0.0
669,63.186895825123926,M,9.0,13,0.0
670,57.71837663949526,M,7.0,3,99.86501190017059
671,25.896019176428364,F,1.0,0,0.0
672,50.388446396816036,F,8.0,0,0.0
673,59.50042986310065,F,4.0,1,0.0
674,18.476268403884696,F,9.0,1,39.10394937245278
675,59.02900072855068,Unclassified,9.0,4,0.0
676,58.64019423732016,Unclassified,10.0,1,100.30696709802899
677,21.947626192981996,F,7.0,0,0.0
679,64.71487070396103,M,7.0,0,0.0
680,32.25919963025234,M,7.0,4,362.1217289919423
681,44.79850697778957,M,6.0,2,0.0
682,22.028359398300005,F,4.0,0,0.0
683,69.06852843733682,F,8.0,0,0.0
684,51.05231193216767,F,6.0,4,131.2886675698832
685,63.530649516603,M,8.0,0,0.0
686,49.314018620914744,F,4.0,2,127.10939020479327
688,59.076977460589426,F,6.0,3,133.74343962773014
689,20.494158149296638,M,3.0,0,0.0
690,58.320966733612266,Unclassified,5.0,0,0.0
692,53.24212622805703,Unclassified,3.0,0,0.0
693,33.856989739111924,M,6.0,1,88.0411428936061
694,48.48745409619971,M,4.0,2,0.0
695,63.70102282286562,M,6.0,3,140.6260107766217
696,26.473291692739284,Unclassified,7.0,1,145.1291319316918
697,18.70815307082362,Unclassified,8.0,1,118.81551279906297
698,66.7061043778167,F,4.0,2,313.1051845618843
699,28.81696020734053,F,2.0,1,163.7765312811264
700,46.19478444797096,F,2.0,0,0.0
701,60.586349588920235,M,9.0,5,269.5166388575536
703,21.302315733181015,F,4.0,5,0.0
704,49.76003825120992,F,3.0,1,25.37181841605109
705,31.795160282405572,F,2.0,3,0.0
706,21.45874626319887,F,3.0,4,0.0
707,32.261378824418344,Unclassified,2.0,2,152.68164940220842
708,43.56647031275279,F,8.0,2,300.9337198120517
709,34.21821653593861,M,9.0,6,444.7730780769189
711,25.92031698673239,Unclassified,2.0,0,0.0
713,31.183055782783892,M,7.0,7,0.0
714,39.225797492030225,F,3.0,1,57.31566132727367
715,16.16579134012627,Unclassified,7.0,0,0.0
716,59.410299706902606,Unclassified,2.0,3,157.11497317813286
719,59.480436659676315,F,8.0,2,50.02457958466343
720,17.073089697346788,F,9.0,1,0.0
721,54.014152452192945,M,3.0,1,60.84772727773554
722,39.28772498103133,F,2.0,1,0.0
723,33.52282387478242,F,4.0,0,0.0
